,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,*
A,2,0,-2,0,0,-3,1,-1,-1,0,-1,-2,-1,0,0,1,0,-2,1,1,0,0,-6,0,-3,0,-8
B,0,3,-4,3,3,-4,0,1,-2,0,1,-3,-2,2,0,-1,1,-1,0,0,0,-2,-5,-1,-3,2,-8
C,-2,-4,12,-5,-5,-4,-3,-3,-2,0,-5,-6,-5,-4,0,-3,-5,-4,0,-2,0,-2,-8,-3,0,-5,-8
D,0,3,-5,4,3,-6,1,1,-2,0,0,-4,-3,2,0,-1,2,-1,0,0,0,-2,-7,-1,-4,3,-8
E,0,3,-5,3,4,-5,0,1,-2,0,0,-3,-2,1,0,-1,2,-1,0,0,0,-2,-7,-1,-4,3,-8
F,-3,-4,-4,-6,-5,9,-5,-2,1,0,-5,2,0,-3,0,-5,-5,-4,-3,-3,0,-1,0,-2,7,-5,-8
G,1,0,-3,1,0,-5,5,-2,-3,0,-2,-4,-3,0,0,0,-1,-3,1,0,0,-1,-7,-1,-5,0,-8
H,-1,1,-3,1,1,-2,-2,6,-2,0,0,-2,-2,2,0,0,3,2,-1,-1,0,-2,-3,-1,0,2,-8
I,-1,-2,-2,-2,-2,1,-3,-2,5,0,-2,2,2,-2,0,-2,-2,-2,-1,0,0,4,-5,-1,-1,-2,-8
J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K,-1,1,-5,0,0,-5,-2,0,-2,0,5,-3,0,1,0,-1,1,3,0,0,0,-2,-3,-1,-4,0,-8
L,-2,-3,-6,-4,-3,2,-4,-2,2,0,-3,6,4,-3,0,-3,-2,-3,-3,-2,0,2,-2,-1,-1,-3,-8
M,-1,-2,-5,-3,-2,0,-3,-2,2,0,0,4,6,-2,0,-2,-1,0,-2,-1,0,2,-4,-1,-2,-2,-8
N,0,2,-4,2,1,-3,0,2,-2,0,1,-3,-2,2,0,0,1,0,1,0,0,-2,-4,0,-2,1,-8
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,1,-1,-3,-1,-1,-5,0,0,-2,0,-1,-3,-2,0,0,6,0,0,1,0,0,-1,-6,-1,-5,0,-8
Q,0,1,-5,2,2,-5,-1,3,-2,0,1,-2,-1,1,0,0,4,1,-1,-1,0,-2,-5,-1,-4,3,-8
R,-2,-1,-4,-1,-1,-4,-3,2,-2,0,3,-3,0,0,0,0,1,6,0,-1,0,-2,2,-1,-4,0,-8
S,1,0,0,0,0,-3,1,-1,-1,0,0,-3,-2,1,0,1,-1,0,2,1,0,-1,-2,0,-3,0,-8
T,1,0,-2,0,0,-3,0,-1,0,0,0,-2,-1,0,0,0,-1,-1,1,3,0,0,-5,0,-3,-1,-8
U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V,0,-2,-2,-2,-2,-1,-1,-2,4,0,-2,2,2,-2,0,-1,-2,-2,-1,0,0,4,-6,-1,-2,-2,-8
W,-6,-5,-8,-7,-7,0,-7,-3,-5,0,-3,-2,-4,-4,0,-6,-5,2,-2,-5,0,-6,17,-4,0,-6,-8
X,0,-1,-3,-1,-1,-2,-1,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,0,0,0,-1,-4,-1,-2,-1,-8
Y,-3,-3,0,-4,-4,7,-5,0,-1,0,-4,-1,-2,-2,0,-5,-4,-4,-3,-3,0,-2,0,-2,10,-4,-8
Z,0,2,-5,3,3,-5,0,2,-2,0,0,-3,-2,1,0,0,3,0,0,-1,0,-2,-6,-1,-4,3,-8
*,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,-8,-8,-8,-8,0,-8,-8,-8,-8,-8,0,-8,-8,-8,-8,-8,1
