,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,*
A,5,-1,-1,-2,-1,-2,0,-2,-1,0,-1,-1,-1,-1,0,-1,-1,-2,1,0,0,0,-2,0,-2,-1,-5
B,-1,4,-2,5,1,-3,-1,0,-3,0,0,-3,-2,4,0,-2,0,-1,0,0,0,-3,-4,-1,-2,2,-5
C,-1,-2,12,-3,-3,-2,-3,-3,-3,0,-3,-2,-2,-2,0,-4,-3,-3,-1,-1,0,-1,-5,-2,-3,-3,-5
D,-2,5,-3,7,2,-4,-1,0,-4,0,0,-3,-3,2,0,-1,0,-1,0,-1,0,-3,-4,-1,-2,1,-5
E,-1,1,-3,2,6,-3,-2,0,-3,0,1,-2,-2,0,0,0,2,0,0,-1,0,-3,-3,-1,-2,4,-5
F,-2,-3,-2,-4,-3,8,-3,-2,0,0,-3,1,0,-2,0,-3,-4,-2,-2,-1,0,0,1,-1,3,-3,-5
G,0,-1,-3,-1,-2,-3,7,-2,-4,0,-2,-3,-2,0,0,-2,-2,-2,0,-2,0,-3,-2,-1,-3,-2,-5
H,-2,0,-3,0,0,-2,-2,10,-3,0,-1,-2,0,1,0,-2,1,0,-1,-2,0,-3,-3,-1,2,0,-5
I,-1,-3,-3,-4,-3,0,-4,-3,5,0,-3,2,2,-2,0,-2,-2,-3,-2,-1,0,3,-2,-1,0,-3,-5
J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K,-1,0,-3,0,1,-3,-2,-1,-3,0,5,-3,-1,0,0,-1,1,3,-1,-1,0,-2,-2,-1,-1,1,-5
L,-1,-3,-2,-3,-2,1,-3,-2,2,0,-3,5,2,-3,0,-3,-2,-2,-3,-1,0,1,-2,-1,0,-2,-5
M,-1,-2,-2,-3,-2,0,-2,0,2,0,-1,2,6,-2,0,-2,0,-1,-2,-1,0,1,-2,-1,0,-1,-5
N,-1,4,-2,2,0,-2,0,1,-2,0,0,-3,-2,6,0,-2,0,0,1,0,0,-3,-4,-1,-2,0,-5
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,-1,-2,-4,-1,0,-3,-2,-2,-2,0,-1,-3,-2,-2,0,9,-1,-2,-1,-1,0,-3,-3,-1,-3,-1,-5
Q,-1,0,-3,0,2,-4,-2,1,-2,0,1,-2,0,0,0,-1,6,1,0,-1,0,-3,-2,-1,-1,4,-5
R,-2,-1,-3,-1,0,-2,-2,0,-3,0,3,-2,-1,0,0,-2,1,7,-1,-1,0,-2,-2,-1,-1,0,-5
S,1,0,-1,0,0,-2,0,-1,-2,0,-1,-3,-2,1,0,-1,0,-1,4,2,0,-1,-4,0,-2,0,-5
T,0,0,-1,-1,-1,-1,-2,-2,-1,0,-1,-1,-1,0,0,-1,-1,-1,2,5,0,0,-3,0,-1,-1,-5
U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V,0,-3,-1,-3,-3,0,-3,-3,3,0,-2,1,1,-3,0,-3,-3,-2,-1,0,0,5,-3,-1,-1,-3,-5
W,-2,-4,-5,-4,-3,1,-2,-3,-2,0,-2,-2,-2,-4,0,-3,-2,-2,-4,-3,0,-3,15,-2,3,-2,-5
X,0,-1,-2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,-1,-2,-1,-1,-1,-5
Y,-2,-2,-3,-2,-2,3,-3,2,0,0,-1,0,0,-2,0,-3,-1,-1,-2,-1,0,-1,3,-1,8,-2,-5
Z,-1,2,-3,1,4,-3,-2,0,-3,0,1,-2,-1,0,0,-1,4,0,0,-1,0,-3,-2,-1,-2,4,-5
*,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,1
